tagId,tagName,parentTagId,parentTagName
1,Industry,0,NULL
2,Discipline,0,NULL
3,Language,0,NULL
4,Qualifications,0,NULL
5,Permissions,0,NULL
6,skills,0,NULL
7,Computer Skills,0,NULL
8,workSegment,0,NULL
9,Reserved,0,NULL
10,Reserved,0,NULL
11,Project management,NULL,NULL
12,business establishment,NULL,NULL
13,liaison,NULL,NULL
14,Drafting,NULL,NULL
15,Drafting,6,skills
16,Unit management,6,skills
17,Business Development,6,skills
18,Strategic Planning,6,skills
19,Client advocacy,6,skills
20,PMBOK,6,skills
21,Project Office setup,6,skills
22,Engineering,1,Industry
23,Civil Engineering,22,Engineering
24,Building Engineering,22,Engineering
25,Consulting,1,Industry
26,Management,1,Industry
27,Design,1,Industry
28,Teaching,1,Industry
29,Industry,NULL,NULL
30,Busses,NULL,NULL
31,Japanese,3,Language
32,German,3,Language
33,Software Development,NULL,NULL
34,CPR,4,Qualifications
35,Testing,2,Discipline
36,test,2,Discipline
37,,2,Discipline
38,Mechanical Equipment Design,2,Discipline
39,Master of Engineering,4,Qualifications
40,oil &gas,17,Business Development
41,Project Engineer,40,oil &gas
42, biogas,17,Business Development
43, power,17,Business Development
44, process,17,Business Development
45,petrochemical,17,Business Development
46, chemical,17,Business Development
47,Fabricator,1,Industry
48,#NAME?,1,Industry
49, Seawater Desalination Project ,1,Industry
50,Manufacturing,NULL,NULL
51,Fabrication,1,Industry
52,quality control,NULL,NULL
53,"Project Management, Supervision, Quality Control and Inspection ",2,Discipline
54,"•	Executive Master in Business Project Management",4,Qualifications
55,"•	Diploma in Banking Studies",4,Qualifications
56,Civil and Construction ,1,Industry
57,Oil and Gas Division ,1,Industry
58,"C/C++, Python, Java HTML, CSS ",7,Computer Skills
59,Bachelor of Science degree in Computer Science,4,Qualifications
60,Nandos,1,Industry
61,University,1,Industry
62,Bulk Materials Handling Equipment (Iron Ore),NULL,NULL
63,leadership,NULL,NULL
64,‘Mechanical Project Engineer,2,Discipline
65,Bachelor of Engineering ,4,Qualifications
66,Diploma of Project Management ,4,Qualifications
67,Mining,1,Industry
68,commissioning,6,skills
69,Electrical,2,Discipline
70,Bachelor of Science in Electrical and Electronic Engineering ,4,Qualifications
71,Process,2,Discipline
72,Mechanical,2,Discipline
73,Power,72,Mechanical
74,Process ,73,Power
75,Mining metal,72,Mechanical
76, Water treatment,72,Mechanical
77,processing plant,67,Mining
78,dewatering systems and mobile equipment,67,Mining
79,Oil& gas,72,Mechanical
80,Control & Instrumentation,2,Discipline
81,greenfield & brownfield,80,Control & Instrumentation
82,design and execution of greenfield and brownfield projects in the fields of PCN cybersecurity,81,greenfield & brownfield
83,instrumentation,81,greenfield & brownfield
84,control and communication systems,81,greenfield & brownfield
85,functional safety and project management,81,greenfield & brownfield
86,oil & gas,80,Control & Instrumentation
87, mining,80,Control & Instrumentation
88,rail,80,Control & Instrumentation
89,materials,80,Control & Instrumentation
90,prefeasibility,86,oil & gas
91,feasibility,86,oil & gas
92,option study,86,oil & gas
93,concept design,86,oil & gas
94,front end engineering,86,oil & gas
95,detail engineering,86,oil & gas
96,pre-commissioning,86,oil & gas
97,fertilizer,71,Process
98,chemical,71,Process
99,  mineral,71,Process
100,Admin & Accounts,2,Discipline
101,Doc Control,2,Discipline
102,worked in curtin guild,101,Doc Control
103,communication,102,worked in curtin guild
104,computer,102,worked in curtin guild
105,Graduate,71,Process
106,TBD,11,Project management
107,Supervision,11,Project management
108,Quality Control and Inspection,11,Project management
109,Safety,2,Discipline
110,Design and Drafting,2,Discipline
111,Chemical and Process Engineer,11,Project management
112,Not suitable,111,Chemical and Process Engineer
113,doesnot have enough relevant experience,111,Chemical and Process Engineer
114,BTech Chemical,41,Project Engineer
115,Melbourne based,41,Project Engineer
116,expensive,41,Project Engineer
117,Chemical Engineering,86,oil & gas
118,Junior PE,86,oil & gas
119,Oil,72,Mechanical
120, power generation,72,Mechanical
121,Oil and Gas (offshore/onshore),98,chemical
122,Conceptual/Feasibility studies,121,Oil and Gas (offshore/onshore)
123,FEED,121,Oil and Gas (offshore/onshore)
124,EPC,121,Oil and Gas (offshore/onshore)
125,Installation,121,Oil and Gas (offshore/onshore)
126,"Commissioning & start-up/Handover to operation.
Well Head/ satellite offshore platform and CPP",121,Oil and Gas (offshore/onshore)
127,FSO/FPU/LQ,121,Oil and Gas (offshore/onshore)
128,Gas Plant,121,Oil and Gas (offshore/onshore)
129,SRU,121,Oil and Gas (offshore/onshore)
130,Ammonia,121,Oil and Gas (offshore/onshore)
131,Methanol,121,Oil and Gas (offshore/onshore)
132,"Utilities etc.
MS Office/AutoCAD
Hysys/Pipesim/flarenet/pipenet/Instrucal
TGnet/TLnet/Phast/Flaresim/Olga
Excelsheet – pro",121,Oil and Gas (offshore/onshore)
133,Refinery,98,chemical
134,"Utilities etc.
MS Office/AutoCAD
Hysys/Pipesim/flarenet/pipenet/Instrucal
TGnet/TLnet/Phast/Flaresim/Olga
Excelsheet – pro",133,Refinery
135,Fertilizer/chemicals,98,chemical
136,"Utilities etc.
MS Office/AutoCAD
Hysys/Pipesim/flarenet/pipenet/Instrucal
TGnet/TLnet/Phast/Flaresim/Olga
Excelsheet – pro",135,Fertilizer/chemicals
137,Disassembling,69,Electrical
138,diagnose,69,Electrical
139,repair and test electrical devices and IT equipment in a workshop and customer side. Service and commissioning experience inc,69,Electrical
140,IT,69,Electrical
141,instrumentation and safety,69,Electrical
142,Electricals,2,Discipline
143,Electrical1,1,Industry
144,Electrical2,1,Industry
145,Electrical3,1,Industry
146,Electrical4,1,Industry
147,Electrical 5,1,Industry
148,Electrical6,1,Industry
149,Mechanical Engineer ,2,Discipline
150,MASTER OF ENGINEERING - MECHANICAL ,4,Qualifications
151,BACHELOR OF ENGINEERING - MECHANICAL ,4,Qualifications
152, MECHANICAL & PIPING ,1,Industry
153, ENGINEERING ,1,Industry
154, Process ,1,Industry
155, Electro Mechanic Works ,1,Industry
156, Refinery,1,Industry
157,Design / MDR Validation,86,oil & gas
158,Pipeline Design,86,oil & gas
159,Gas Compliance Audit,86,oil & gas
160,Project Management & Risk Ana.,86,oil & gas
161,Bachelors Degree in Mechanical Engineering ,4,Qualifications
162, Civil Construction Designer ,2,Discipline
163,Advanced Diploma in Civil Construction Design ,4,Qualifications
164,Diploma in Civil Construction Design ,4,Qualifications
165,Certificate IV in Business ,4,Qualifications
166,Civil Construction and Design,NULL,NULL
167,Bachelor’s Degree in Civil Engineering,4,Qualifications
168,Diploma of Civil Construction Design,4,Qualifications
169,Perth Airport ,1,Industry
170,Piping,2,Discipline
171,Mechanical and Piping Project Engineer ,2,Discipline
172,Graduate Diploma ,4,Qualifications
173,Mechanical QA/QC,1,Industry
174,Marketing,2,Discipline
175,"B-Tech ,Marketing",2,Discipline
176,MBA,4,Qualifications
177,B.Tech,4,Qualifications
178,Project Engineering,1,Industry
179, Bachelor of Engineering (Chemical) with honours ,4,Qualifications
180,Curtin University - Bachelor of Science (Chemistry) (2013) ,4,Qualifications
181,Construction,1,Industry
182,Commissioning Engineer,NULL,NULL
183,Mechanical & Project Engineer,2,Discipline
184,MECHANICAL ENGINEERING UNIVERSITY OF SOUTHERN QLD ,4,Qualifications
185,Bachelorin Engineering,4,Qualifications
186,Lead Construction ,1,Industry
187,Oil &sGas,1,Industry
188,energy,1,Industry
189,Bachelor of Engineering - UWA Civil Offshore ,4,Qualifications
190,Gas,1,Industry
191,Automobile,1,Industry
192,"Master of Science, Design of Rotating Machines, Cranfield University, Milton Keynes, UK ",4,Qualifications
193,"Bachelor of Technology, Mechanical Engineering,",4,Qualifications
194, Compressor Seals and systems,1,Industry
195,Post Graduate Certificate in Mechanical Engineering ,4,Qualifications
196,Bachelor of Technology in Mechanical Engineering ,4,Qualifications
197,Electro Mechanic ,1,Industry
198,Maintenance,1,Industry
199,Auto CAD,7,Computer Skills
200,Chartered Professional Engineer ,4,Qualifications
201,Bachelor of Engineering (Mechatronic- Hons.). ,4,Qualifications
202,Graduate Certificate (Business),4,Qualifications
203,Oil and Gas Technologies ,1,Industry
204,Oil and gas,1,Industry
205,Civil Construction,2,Discipline
206,Bachelor of Civil Engineering,4,Qualifications
207,Construction Engineer,2,Discipline
208, Petroleum Engineering ,2,Discipline
209, BACHELOR OF MECHANICAL ENGINEERING ,4,Qualifications
210,GRADUATE DIPLOMA OF BUSINESS ADMINISTRATION ,4,Qualifications
211,Automation,1,Industry
212,Project Coordinator,NULL,NULL
213,Parramatta Light Rail ,NULL,NULL
214,Masters of Business Administration,4,Qualifications
215,Certificate IV Building & Construction,4,Qualifications
216, Rail ,1,Industry
217, Mechanical and Electrical ,1,Industry
218,Master of Professional Engineering,4,Qualifications
219,Bachelor of mechanical engineering ,4,Qualifications
220,Hospitality,1,Industry
221,CSWIP 3.1 Welding Inspector ,4,Qualifications
222,PFP & Insulation Inspector Level 2 ,4,Qualifications
223,Lead Auditor Quality Management Systems ,4,Qualifications
224,"National Diploma, Mechanical Engineering ",4,Qualifications
225,SAQCC Competent Persons ,4,Qualifications
226,IRCA Training for Construction Supervisors ,4,Qualifications
227,ISO9001:2008 Quality Management System ,4,Qualifications
228,LNG,1,Industry
229,Arts,2,Discipline
230,"	Bachelor of Arts ",4,Qualifications
231,Retail,1,Industry
232,HAZOP,2,Discipline
233,Chemical & Process Engineer,2,Discipline
234,Bachelor of Science (BSc) ,4,Qualifications
235,Chemical and Process,1,Industry
236,Administration ,1,Industry
237,Estimation,6,skills
238,Procurement support,6,skills
239,Monitoring,6,skills
240,Bachelor of Science in Mechanical Engineering,4,Qualifications
241,Professional Engineer MIEAus,4,Qualifications
242,Quality Manager,4,Qualifications
243,Process Engineer,NULL,NULL
244,Welding,2,Discipline
245,Certificate III in Engineering Fabrication Trade ,4,Qualifications
246,Diploma in Quality Management ,4,Qualifications
247,CSWIP3.1-Welding Inspector,4,Qualifications
248,Projects,1,Industry
249,BEng Civil Engineering ,4,Qualifications
250,Diploma in Industrial Studies ,4,Qualifications
251,Instructor,6,skills
252,Petroleum & Mechanical,2,Discipline
253,Masters of Engineering in Mechanical Engineering ,4,Qualifications
254,LPG,1,Industry
255,Operation,NULL,NULL
256,Piping Engineering,NULL,NULL
257,"English, Arabic",3,Language
258,Project Coordination,6,skills
259,Mechanical Construction,NULL,NULL
260,Pipeline Engineering,1,Industry
261,Management of Change,6,skills
262,Process Operation,NULL,NULL
263,Analysis,NULL,NULL
264,Team Lead Player,NULL,NULL
265,Project Establishment,NULL,NULL
266,Quality & Technical ,NULL,NULL
267,B.Eng in Chemical Engineering ,4,Qualifications
268,Process Engineering ,1,Industry
269,ISO 9001:2008,4,Qualifications
270,QMS Auditing ISO5500:2006,4,Qualifications
271,Cert Piping & Stress analysis,4,Qualifications
272,Procurement & Construction,1,Industry
273,Consultancy,1,Industry
274,"B.Sc. in Fluid Mechanical Engineering, Urmia University",4,Qualifications
275,"M.Sc. in Mechanical Engineering, SUT University",4,Qualifications
276,Horizon Power Level Two HV Substation Access Authorized,4,Qualifications
277,Type B Gas Appliances Supervised Gas Fitter Certification,4,Qualifications
278,"Confined Space, Gas Testing, Work Safe at Height & Off-road driving",4,Qualifications
279,Certified Water Treatment O&M from Veolia Water,4,Qualifications
280,Microsoft MS Project Professional training,4,Qualifications
281,ASME Member,4,Qualifications
282,"PMP Certification from PMI, Proficient Grade",4,Qualifications
283,Chartered Professional Engineer CPEng with Engineers Australia,4,Qualifications
284,Certified API 850 Risk Based Inspector,4,Qualifications
285,Applications of ASME B31.3 in Piping Design training,4,Qualifications
286,Pump Selection Fundamentals and Principles training,4,Qualifications
287,"BECHTEL OIL, GAS & CHEMICAL",1,Industry
288,UGL,1,Industry
289,HORIZON POWER,1,Industry
290,ROSHD SANAT CO.,1,Industry
291,TEHRAN OIL REFINING COMPANY,1,Industry
292,Electrical Engineer,2,Discipline
293,"Mater of Electrical Engineering from Edith Cowan University, WA, Australia.",4,Qualifications
294,"Bachelors in Electronics Engineering from The University of Faisalabad, Punjab, Pakistan.",4,Qualifications
295,"High School from Govt. Jame-ul-Aloom High School, Multan, Punjab, Pakistan.",4,Qualifications
296,"Crescent Sugar Mills & Distillery Ltd, Punjab, Pakistan.",1,Industry
297,"Kot Addu Power Company Limited (KAPCO),",1,Industry
298,"National Transmission & Dispatch Company (NTDC),",1,Industry
299,DRAFT PERSON,2,Discipline
300,DIPLOMA IN BUILDING DESIGN CENTRAL INSTITUTE OF TECHNOLOGY ,4,Qualifications
301,FOUNDATION CERTIFICATE IN BUSINESS MANAGEMENT UNIVERSITY OF WESTERN SYDNEY NAIROBI,4,Qualifications
302,IGCSE O LEVEL EDUCATION SHREE SWAMINARAYAN ACADEMY,4,Qualifications
303,IGA DUNCRAIG FRESH,1,Industry
304,FURNITURE BAZAR,1,Industry
305,Mechanical Fitter ,2,Discipline
306,Fitter and Turner Trade Certificate ,4,Qualifications
307,BOSIET Ticket,4,Qualifications
308,White Card,4,Qualifications
309,Firefighting Course,4,Qualifications
310,Confined Space Entry Course,4,Qualifications
311,Working at Heights Course (including GAP Training),4,Qualifications
312,EWP Ticket,4,Qualifications
313,"BHP, Rio Tinto Induction, and Roy Hill Induction",4,Qualifications
314,RH1 Level 1 - Rail Safety Awareness Training,4,Qualifications
315,WA Drivers License,4,Qualifications
316,Various shutdowns WA,1,Industry
317,"Civmec	WA",1,Industry
318,Various shutdowns,1,Industry
319,Metroll Manufacturing ,1,Industry
320,PROJECT OFFICER,2,Discipline
321,"Diploma Trainee EngineerAdor Welding Ltd (Germany), Peenya Industrial Estate Bangalore, India ",4,Qualifications
322,Chevron- (GORGON Pipe Spooling Project,1,Industry
323,"AGC- AusGroup, Kwinana, Western Australia",1,Industry
324,BP Refinery Shut down Project,1,Industry
325,Boddington Project,1,Industry
326,"Certificate IV in Project Management 	Project Management Body of Knowledge (PMBOK).",4,Qualifications
327,"Uni-Graphics NX-2 & AutoCAD Certificate SDS Solutions Pty Ltd, Bangalore, India",4,Qualifications
328,"Diploma in Mechanical Engineering IR Polytechnic, Department of Technical Education, Bangalore, India",4,Qualifications
329,Mechanical and Hydraulic building draftsman ,2,Discipline
330,Diploma of Mechanical Engineering (CAD),4,Qualifications
331,Certificate IV Business (Frontline Management),4,Qualifications
332,Certificate III & IV in Leadership ,4,Qualifications
333,Advanced Steel,4,Qualifications
334,Revit,4,Qualifications
335,AutoCAD,7,Computer Skills
336,Autoplant P&ID,7,Computer Skills
337,Autoplant Mechanical 3D,7,Computer Skills
338,Autoplant piping 3D,7,Computer Skills
339,ProSteel,4,Qualifications
340,Introduction to Minerals Processing ,4,Qualifications
341,Leisk Hydraulics,1,Industry
342,TBC Hydraulics,1,Industry
343,Ausenco Minerals PTY. LTD.,1,Industry
344,"Bachelor of Science - Mechanical Engineering, University Cape Town",4,Qualifications
345,"Diploma in Management Development, Nelson Mandela University",4,Qualifications
346,Government Certificate of Competence (OHS for Factories) South Africa,4,Qualifications
347,Certificate in Pipeline Engineering,4,Qualifications
348,Pfizer,1,Industry
349,Master of Technology in Chemical Engineering,4,Qualifications
350,Bachelor of Technology in Pharmaceutical Engineering ,4,Qualifications
351,"•	Higher Secondary Certificate ",4,Qualifications
352,IWL INDIA LIMITED,1,Industry
353,Kudos Chemie Limited   ,1,Industry
354,Axon Drugs Private Limited                            ,1,Industry
355,"B.I.T. Sindri (Ranchi Univ.) / B.Sc. 1st position/distinction Chemical Engineering, ",4,Qualifications
356,Petrochina International,1,Industry
357,Worley Parsons,1,Industry
358,CONSOLE OPERATOR,2,Discipline
359,B. Sc. Engineering in Mechanical Bangladesh ,4,Qualifications
360, Diploma Engineering in Mechanical Bangladesh ,4,Qualifications
361,United Petroleum ,1,Industry
362,Bangladesh Water Development Board,1,Industry
363,BondStrong Pty Ltd ,1,Industry
364,Pipex Limited ,1,Industry
365,"Graduate Diploma in Project Management, Manukau Institute of Technology, Auckland, New Zealand",4,Qualifications
366,"Bachelor of Mechanical Engineering, University of Mumbai, Mumbai, India",4,Qualifications
367,"Certificate Course in Non-destructive Testing, Sonic Inspection Services, Navi  Mumbai, India",4,Qualifications
368,SKB Builders India Limited,1,Industry
369,Offshore Infrastructure Limited,1,Industry
370,Junior Mechanical,2,Discipline
371,Structural Engineer,2,Discipline
372, Process Operation,2,Discipline
373,water utilities,1,Industry
374,BS (Mech) University of Sri Lanka,4,Qualifications
375,MBA (University of Honolulu),4,Qualifications
376,Vibration Analysis ISO Category 3 ,4,Qualifications
377,Machinery Lubrication Analysis Level 1. ,4,Qualifications
378,Howden Thomassen Compressors trouble shooting and maintenance,4,Qualifications
379,manufacture,1,Industry
380,bearing manufacturer,1,Industry
381,Mechanical Engineering from Institution of Engineers (India) ,4,Qualifications
382,"Diploma in Mechanical Engineering from Govt. Polytechnic, Amritsar ",4,Qualifications
383,"Certificate course CAD,CAM and CNC machining from Central Tool Room, India",4,Qualifications
384,oil $ gas,1,Industry
385,oil&gas,1,Industry
386,"BE(Mechanical) – JSPM’S Jayawantrao Sawant college of engineering, Savitribai Phule Pune University",4,Qualifications
387,HSC – Nutan Jr Science college Malkapur,4,Qualifications
388,SSC – M.S.M English School Malkapur ,4,Qualifications
389,"	Bachelor of Civil Engineering - Sardar Patel University, India ",4,Qualifications
390,"	Diploma of Civil Engineering - Technical Education Board, India",4,Qualifications
391,B.E. Chemical from C.R. State College of Engineering Murthal Sonipat,4,Qualifications
392,Certificate of Mechanical Engineering - Sydney Technical College,4,Qualifications
393,Certificate IV in Frontline Management,4,Qualifications
394,Diploma of Project Management.,4,Qualifications
395,oil& gas & mining,1,Industry
396,Bachelor of Science Engineering Science and Economics,4,Qualifications
397,architecture,1,Industry
398,univercity project,1,Industry
399,Overseas Qualified Professional Program (OQP),4,Qualifications
400,Postgraduate studies in Chemical Engineering,4,Qualifications
401,Bachelor of Science in Chemical Engineering,4,Qualifications
402,Diploma in Mechanical Engineering,4,Qualifications
403,Diploma in Heating Ventilation and Air Conditioning,4,Qualifications
404,Diploma in Revit MEP,4,Qualifications
405,Data Science,2,Discipline
406,gold mine,1,Industry
407,gold mining,1,Industry
408,Monash University Australia,4,Qualifications
409,Sr Process Engineer,2,Discipline
410,"•	B.E (Chemical) from BIT Sindri (Ranchi Univ.), India",4,Qualifications
411,water,1,Industry
412,"Energy and Process Master (ENEP), IFP School",4,Qualifications
413,"Process Engineering Master, UTC (Compiegne University of Technology)",4,Qualifications
414,"Chemical Engineering Cycle (half year), Lappeenranta University of Technology",4,Qualifications
415,"Bachelor of Chemistry and Physics, Paris 7 University (Denis Diderot University)",4,Qualifications
416,"Science of Life, two years study, Paris 13 University",4,Qualifications
417,Plant Design &Piping Engineering,2,Discipline
418,Professional Mechanical Engineer,4,Qualifications
419,Post Graduate Diploma in Power Plant,4,Qualifications
420,Bachelor of Engineering in Mechanical ,4,Qualifications
421,gas plant power,1,Industry
422,Bachelor of Engineering - Metallurgy ,4,Qualifications
423,"•	CSWIP – 3.1 Welding Inspector",4,Qualifications
424,"•	ASNT LEVEL II CERTIFICTE IN",4,Qualifications
425,"•	ULTRASONIC TESTING",4,Qualifications
426,"•	MAGNETIC PARTICLE TESTING",4,Qualifications
427,"•	RADIOGRAPHIC TESTING",4,Qualifications
428,"•	DYE PENETRANT TESTING",4,Qualifications
429,QA/QC Engineer ,2,Discipline
430,"Master of Engineering Science in Petroleum Engineering The University of New South Wales, Australia",4,Qualifications
431,"Bachelor of Engineering in Mechanical Engineering Anna University, India",4,Qualifications
432,anufacturing,1,Industry
433,Bachelors in Engineering. (Industrial & Production Engineering) ,4,Qualifications
434,Advance Diploma in Tool & Die Making,4,Qualifications
435,"Masters of Mechanical Engineering, Edith Cowan University ",4,Qualifications
436,B. Eng. Mechanical,4,Qualifications
437,sales,1,Industry
438,Senior Structural Designer/Drafter,2,Discipline
439,Umbilical Risers and Flow lines ,1,Industry
440,mechanical engineering,2,Discipline
441,"Master of Engineering, Curtin University, Perth, Western Australia",4,Qualifications
442,"Msc Structural Engineering, Newcastle University, Newcastle Upon Tyne, United Kingdom",4,Qualifications
443,"BEng 2:1 Honors Mechanical Engineering, London South Bank University",4,Qualifications
444,CPPM,4,Qualifications
445,Certified Practicing Project Manager,4,Qualifications
446,Associate Fellow - Australian Institute of Management,4,Qualifications
447,Masters of Project Management,4,Qualifications
448,Lean Six Sigma Green belt ,4,Qualifications
449,Associate Diploma Mechanical Engineering,4,Qualifications
450,Diploma of Oil and Gas Engineering,4,Qualifications
451,Cert IV Engineering (General),4,Qualifications
452,Cert IV Front Line Management ,4,Qualifications
453,Cert IV Work Health and Safety (OHS),4,Qualifications
454,OH&S White Card,4,Qualifications
455,"TBOSIET, HUET",4,Qualifications
456,MSIC Holder,4,Qualifications
457,BIM,1,Industry
458,Oracle,7,Computer Skills
459,"Mining, Oil & Gas",1,Industry
460,Medicine,1,Industry
461,Telecommunication,1,Industry
462,Computing,1,Industry
463,Insurance,1,Industry
464,SQL,7,Computer Skills
465,Shellscrupt,7,Computer Skills
466,ADI,6,skills
467,UPK,6,skills
468,Shellscript,7,Computer Skills
469,Front End Engineering Design,6,skills
470,3D Modeling,6,skills
471,2D Drafting,6,skills
472,Microsoft Office,7,Computer Skills
473,EPFCM,1,Industry
474,Investment,1,Industry
475,Bachelor of Commerce (Honors),4,Qualifications
476,Software,1,Industry
477,Process Design Leadership,6,skills
478,P&ID Development,NULL,NULL
479,Natural gas processing & storage,NULL,NULL
480,"HAZOP, HAZID and SIL studies",NULL,NULL
481,report writing,NULL,NULL
482,Hazardous Area Classification,NULL,NULL
483,Specification of advanced control systems’ requirements,NULL,NULL
484,"Expertise in metering, custody transfer and gas transmission facilities",NULL,NULL
485,Bachelor of Engineering (Chemical),4,Qualifications
486,Chartered Engineering,4,Qualifications
487,Hazardous Materials,1,Industry
488,P&ID,NULL,NULL
489,Piping Design,NULL,NULL
490,project scheduling,NULL,NULL
491,Bachelor of Engineering (Mechanical),4,Qualifications
492,Higher Secondary Examination,4,Qualifications
493,Madhyamik Examination,4,Qualifications
494,Caesar II,NULL,NULL
495,Excel,7,Computer Skills
496,VPRM,NULL,NULL
497,JMMS,NULL,NULL
498,PDS,NULL,NULL
499,Autoplant,7,Computer Skills
500,SPR,NULL,NULL
501,Visual Basic,7,Computer Skills
502,Microstation Basics,NULL,NULL
503,Problem solving,NULL,NULL
504,Budgeting and Expenditure Control,NULL,NULL
505,Techno-commercial Support,NULL,NULL
506,Master of Technology (Power System)(Electrical),4,Qualifications
507,Bachelor of Technology,4,Qualifications
508,Bachelor of Science,4,Qualifications
509,Indian Military Academy,4,Qualifications
510,PMP from PMI,4,Qualifications
511,Post graduate certificate in Business Management,4,Qualifications
512,Military,1,Industry
513,Militart,1,Industry
514,DIPLOMA   (Mechanical Engineering) ,4,Qualifications
